Abbr.,Name,UTC offset,offset,offset_seconds
SAST,South African Standard Time,UTC+02,2,7200
SBT,Solomon Islands Time,UTC+11,11,39600
SCT,Seychelles Time,UTC+04,4,14400
SGT,Singapore Time,UTC+08,8,28800
SLST,Sri Lanka Time,UTC+05:30,5.5,19800
SRET,Srednekolymsk Time,UTC+11,11,39600
SRT,Suriname Time,UTC−03,-3,-10800
SST,Samoa Standard Time,UTC−11,-11,-39600
SYOT,Showa Station Time,UTC+03,3,10800
TAHT,Tahiti Time,UTC−10,-10,-36000
THA,Thailand Standard Time,UTC+07,7,25200
TFT,Indian/Kerguelen,UTC+05,5,18000
TJT,Tajikistan Time,UTC+05,5,18000
TKT,Tokelau Time,UTC+13,13,46800
TLT,Timor Leste Time,UTC+09,9,32400
TMT,Turkmenistan Time,UTC+05,5,18000
TOT,Tonga Time,UTC+13,13,46800
TVT,Tuvalu Time,UTC+12,12,43200
UCT,Coordinated Universal Time,UTC,0,0
ULAT,Ulaanbaatar Time,UTC+08,8,28800
USZ1,Kaliningrad Time,UTC+02,2,7200
UTC,Coordinated Universal Time,UTC,0,0
UYST,Uruguay Summer Time,UTC−02,-2,-7200
UYT,Uruguay Standard Time,UTC−03,-3,-10800
UZT,Uzbekistan Time,UTC+05,5,18000
VET,Venezuelan Standard Time,UTC−04:30,-4.5,-16200
VLAT,Vladivostok Time,UTC+10,10,36000
VOLT,Volgograd Time,UTC+04,4,14400
VOST,Vostok Station Time,UTC+06,6,21600
VUT,Vanuatu Time,UTC+11,11,39600
WAKT,Wake Island Time,UTC+12,12,43200
WAST,West Africa Summer Time,UTC+02,2,7200
WAT,West Africa Time,UTC+01,1,3600
WEDT,Western European Daylight Time,UTC+01,1,3600
WEST,Western European Summer Time,UTC+01,1,3600
WET,Western European Time,UTC,0,0
WIT,Western Indonesian Time,UTC+07,7,25200
WST,Western Standard Time,UTC+08,8,28800
YAKT,Yakutsk Time,UTC+09,9,32400
YEKT,Yekaterinburg Time,UTC+05,5,18000
Z,Zulu Time (Coordinated Universal Time),UTC,0,0
